University ,Year ,Ranking ,Tier 
UCBerkeley,2017,1,1
UCBerkeley,2017,1,2
UCBerkeley,2017,9,
UCBerkeley,2017,1,2
UCBerkeley,2017,6,
UCBerkeley,2016,1,3
UCBerkeley,2016,1,3
UCBerkeley,2016,1,3
UCBerkeley,2016,4,
UCBerkeley,2016,5,
UCBerkeley,2016,3,
UCBerkeley,2016,3,
UCBerkeley,2016,4,
UCBerkeley,2016,5,
UCBerkeley,2016,5,
UCBerkeley,2016,1,2
UCBerkeley,2016,1,1
UCBerkeley,2016,5,
UCBerkeley,2016,1,1
UCBerkeley,2016,9,
UCBerkeley,2015,10,
UCBerkeley,2015,10,
UCBerkeley,2015,1,3
UCBerkeley,2015,1,3
UCBerkeley,2015,1,3
UCBerkeley,2015,1,1
UCBerkeley,2015,1,3
UCBerkeley,2015,1,3
UCBerkeley,2015,1,3
UCBerkeley,2015,2,
